epoch,step,train_loss,val_loss
0,49,0.3304056227207184,
0,99,0.2554533779621124,
0,149,0.14866280555725098,
0,199,0.17766469717025757,
0,249,0.6667744517326355,
0,299,0.3546322286128998,
0,349,0.0977819412946701,
0,399,0.34131544828414917,
0,449,0.06370029598474503,
0,499,0.27962395548820496,
0,549,0.33577269315719604,
0,599,0.08214373886585236,
0,649,0.162309467792511,
0,699,-0.05125577002763748,
0,749,0.3384009301662445,
0,799,-0.20723676681518555,
0,849,0.6601015329360962,
0,899,0.39146822690963745,
0,949,0.11100566387176514,
0,999,0.12261924147605896,
0,1049,0.023545265197753906,
0,1099,-0.05514015257358551,
0,1149,0.16982528567314148,
0,1199,0.21529297530651093,
0,1249,-0.04205930978059769,
0,1299,0.11471319943666458,
0,1349,0.18704521656036377,
0,1399,0.0918274074792862,
0,1449,0.0675521194934845,
0,1499,0.09535517543554306,
0,1549,0.11484907567501068,
0,1599,0.3703189790248871,
0,1649,0.25655120611190796,
0,1699,0.18656709790229797,
0,1749,0.20991405844688416,
0,1799,0.13175347447395325,
0,1849,0.15792296826839447,
0,1874,,1.5725241899490356
1,1899,0.07081250846385956,
1,1949,0.17032849788665771,
1,1999,0.050454314798116684,
1,2049,0.15502583980560303,
1,2099,0.407548189163208,
1,2149,-0.03344891220331192,
1,2199,0.11923441290855408,
1,2249,0.29726842045783997,
1,2299,0.002531740814447403,
1,2349,0.39440929889678955,
1,2399,-0.010362911969423294,
1,2449,0.14952287077903748,
1,2499,0.05784693360328674,
1,2549,0.14022356271743774,
1,2599,0.08921365439891815,
1,2649,0.1608182191848755,
1,2699,-0.04783884435892105,
1,2749,0.22874802350997925,
1,2799,0.30694228410720825,
1,2849,0.07398538291454315,
1,2899,0.18369698524475098,
1,2949,0.03257724642753601,
1,2999,0.18951913714408875,
1,3049,0.06801703572273254,
1,3099,0.06464477628469467,
1,3149,0.2965977191925049,
1,3199,0.12031394243240356,
1,3249,0.3434726893901825,
1,3299,0.07095587253570557,
1,3349,0.03457240015268326,
1,3399,0.04981715977191925,
1,3449,0.09843862056732178,
1,3499,0.055577076971530914,
1,3549,0.06395556032657623,
1,3599,-0.0729978084564209,
1,3649,0.15675199031829834,
1,3699,0.2097344994544983,
1,3749,0.12635278701782227,
1,3749,,0.6714473366737366
2,3799,0.028479330241680145,
2,3849,0.11159923672676086,
2,3899,0.06348554790019989,
2,3949,-0.07107868790626526,
2,3999,-0.003920748829841614,
2,4049,0.15356233716011047,
2,4099,0.03917887434363365,
2,4149,0.22368283569812775,
2,4199,0.08393252640962601,
2,4249,0.06654734909534454,
2,4299,0.28555500507354736,
2,4349,0.060390107333660126,
2,4399,0.2732096016407013,
2,4449,0.12341612577438354,
2,4499,-0.14610432088375092,
2,4549,0.17799267172813416,
2,4599,-0.05430198460817337,
2,4649,0.19620662927627563,
2,4699,0.15910132229328156,
2,4749,-0.031365249305963516,
2,4799,0.02466796524822712,
2,4849,0.18088378012180328,
2,4899,0.045447103679180145,
2,4949,-0.09313052892684937,
2,4999,0.17924849689006805,
2,5049,0.14407606422901154,
2,5099,-0.1532469093799591,
2,5149,-0.07430290430784225,
2,5199,0.042311061173677444,
2,5249,0.1615947186946869,
2,5299,-0.01836813986301422,
2,5349,0.08903186768293381,
2,5399,0.07994544506072998,
2,5449,0.08305196464061737,
2,5499,0.05864682048559189,
2,5549,0.04253386706113815,
2,5599,0.008689461275935173,
2,5624,,0.6895355582237244
